(120957662, 405660160) 	(1, set(["'np'"]))
(121327362, 1630495825) 	(1, set(["'sexysaturday'"]))
(1220748181, 1001668418) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 1176542268) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 1234926085) 	(1, set(["'gameinsight'"]))
(1220748181, 1242646303) 	(1, set(["'gameinsight'"]))
(1220748181, 1261218080) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 1282114200) 	(1, set(["'gameinsight'"]))
(1220748181, 1335524202) 	(1, set(["'gameinsight'"]))
(1220748181, 1407402936) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 1459905258) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 150164143) 	(1, set(["'gameinsight'"]))
(1220748181, 1614711692) 	(1, set(["'gameinsight'"]))
(1220748181, 1658571368) 	(1, set(["'android'"]))
(1220748181, 173769451) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 175439030) 	(1, set(["'gameinsight'"]))
(1220748181, 1831597285) 	(1, set(["'gameinsight'"]))
(1220748181, 184363448) 	(1, set(["'gameinsight'"]))
(1220748181, 20146536) 	(1, set(["'gameinsight'"]))
(1220748181, 2164881367) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 2201792924) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 22663195) 	(1, set(["'gameinsight'"]))
(1220748181, 254319787) 	(1, set(["'gameinsight'"]))
(1220748181, 259983969) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 26829635) 	(1, set(["'gameinsight'"]))
(1220748181, 280935112) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 328163581) 	(1, set(["'gameinsight'"]))
(1220748181, 334323818) 	(1, set(["'gameinsight'"]))
(1220748181, 417388167) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 53450179) 	(1, set(["'gameinsight'"]))
(1220748181, 550199697) 	(1, set(["'gameinsight'"]))
(1220748181, 556827415) 	(1, set(["'gameinsight'"]))
(1220748181, 602380138) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 74229904) 	(1, set(["'gameinsight'"]))
(1220748181, 848626898) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 85240499) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1220748181, 94967912) 	(1, set(["'gameinsight'"]))
(1220748181, 951244134) 	(3, set([" 'android'", " 'androidgames'", "'gameinsight'"]))
(1234926085, 1001668418) 	(1, set(["'gameinsight'"]))
(1234926085, 1176542268) 	(1, set(["'gameinsight'"]))
(1234926085, 1220748181) 	(1, set(["'gameinsight'"]))
(1234926085, 1242646303) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 1261218080) 	(1, set(["'gameinsight'"]))
(1234926085, 1282114200) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 1335524202) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 1407402936) 	(1, set(["'gameinsight'"]))
(1234926085, 1459905258) 	(1, set(["'gameinsight'"]))
(1234926085, 150164143) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 1553705328) 	(1, set(["'ipad'"]))
(1234926085, 1614711692) 	(1, set(["'gameinsight'"]))
(1234926085, 173769451) 	(1, set(["'gameinsight'"]))
(1234926085, 175439030) 	(1, set(["'gameinsight'"]))
(1234926085, 1831597285) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 184363448) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 20146536) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 2164881367) 	(1, set(["'gameinsight'"]))
(1234926085, 2201792924) 	(1, set(["'gameinsight'"]))
(1234926085, 22663195) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 254319787) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 259983969) 	(1, set(["'gameinsight'"]))
(1234926085, 26829635) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 280935112) 	(1, set(["'gameinsight'"]))
(1234926085, 328163581) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 334323818) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 417388167) 	(1, set(["'gameinsight'"]))
(1234926085, 53450179) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
(1234926085, 550199697) 	(3, set(["'ipad'", " 'ipadgames'", " 'gameinsight'"]))
